Latitude,Longitude,ListingType,ListingPrice,FloorSize,TimeOnMarket
40.731064,-73.800207,House for rent,"$3,500/mo","2,401",9 days ago
40.71937,-73.83599,Apartment for rent,"$1,625/mo",575,9 days ago
40.720621,-73.841034,Apartment for rent,"$2,250/mo",--,9 days ago
40.72699,-73.79366,Apartment for rent,"$1,375/mo",--,9 days ago
40.71995,-73.8134,Apartment for rent,"$1,795/mo",795,9 days ago
40.737958,-73.86143,Apartment for rent,"$2,546/mo",650,9 days ago
40.734945,-73.862348,Apartment for rent,"$3,265/mo",720,9 days ago
40.740469,-73.791302,House for rent,"$2,400/mo","1,120",9 days ago
40.75071,-73.82321,Apartment for rent,"$1,606/mo",510,10 days ago
40.724879,-73.856871,Apartment for rent,"$1,895/mo",730,10 days ago
40.72008,-73.823077,Apartment for rent,"$1,800/mo",850,10 days ago
40.72032,-73.84052,Apartment for rent,"$2,495/mo",--,10 days ago
40.749738,-73.81316,House for rent,"$2,500/mo","1,600",10 days ago
40.721851,-73.807777,House for rent,"$2,100/mo","1,481",10 days ago
40.739297,-73.849875,Apartment for rent,"$2,400/mo","1,200",10 days ago
40.719498,-73.841386,Apartment for rent,"$3,195/mo",850,10 days ago
40.719299,-73.811477,Apartment for rent,"$2,200/mo",980,10 days ago
40.725636,-73.807829,House for rent,"$1,500/mo",700,10 days ago
40.72524,-73.859201,Apartment for rent,"$1,825/mo",--,10 days ago
40.727706,-73.807346,Apartment for rent,"$3,900/mo","4,500",10 days ago
40.724925,-73.858187,Apartment for rent,"$2,275/mo",--,10 days ago
40.719664,-73.813067,Apartment for rent,"$2,495/mo","1,050",11 days ago
40.740959,-73.85572,Apartment for rent,"$2,500/mo",810,11 days ago
40.74188,-73.85457,Apartment for rent,"$2,500/mo",680,11 days ago
40.74139,-73.85519,Apartment for rent,"$2,600/mo","1,000",11 days ago
40.733252,-73.822184,Apartment for rent,"$1,995/mo",--,11 days ago
40.75144,-73.82491,Apartment for rent,"$1,701/mo",500,11 days ago
40.73742,-73.82842,Apartment for rent,"$2,600/mo","1,200",11 days ago
40.724103,-73.854906,Apartment for rent,"$1,800/mo",700,11 days ago
40.73056,-73.84478,Apartment for rent,"$2,300/mo",--,11 days ago
40.74696,-73.85801,Apartment for rent,"$1,700/mo",--,11 days ago
40.74337,-73.82765,Apartment for rent,"$2,100/mo",900,11 days ago
40.74139,-73.85519,Apartment for rent,"$1,799/mo",--,11 days ago
40.720473,-73.825837,Apartment for rent,"$1,800/mo",--,11 days ago
40.74188,-73.85457,Apartment for rent,"$2,500/mo",--,11 days ago
40.72531,-73.857826,Townhouse for rent,"$3,199/mo","1,200",11 days ago
40.74139,-73.85519,Apartment for rent,"$1,800/mo",--,11 days ago
40.75181,-73.8215,Co-op for rent,"$1,800/mo","67,059",11 days ago
40.725927,-73.813454,Apartment for rent,"$2,108/mo",900,12 days ago
40.741552,-73.854607,Apartment for rent,"$2,500/mo",850,12 days ago
40.741552,-73.854607,Apartment for rent,"$2,500/mo",850,12 days ago
40.728354,-73.824525,House for rent,"$2,000/mo",--,12 days ago
40.742685,-73.821756,Apartment for rent,"$2,100/mo","1,662",12 days ago
40.728939,-73.853539,Apartment for rent,"$2,250/mo",--,12 days ago
40.74139,-73.85519,Apartment for rent,"$1,800/mo","1,000",12 days ago
40.71975,-73.817115,Co-op for rent,"$1,725/mo",--,12 days ago
40.721208,-73.842279,Apartment for rent,"$2,000/mo",900,12 days ago
40.721801,-73.859083,Apartment for rent,"$2,475/mo",--,12 days ago
40.719181,-73.815638,Apartment for rent,"$2,100/mo","1,000",12 days ago
40.71928,-73.81568,Apartment for rent,"$2,100/mo",750,12 days ago
40.736932,-73.861381,Apartment for rent,"$2,546/mo","1,073",13 days ago
40.737469,-73.861662,Apartment for rent,"$3,218/mo","1,275",13 days ago
40.729728,-73.806549,Apartment for rent,"$2,350/mo","1,100",13 days ago
40.721381,-73.851464,Apartment for rent,"$1,907/mo",850,13 days ago
40.73528,-73.862542,Apartment for rent,"$3,265/mo","1,280",13 days ago
40.724221,-73.79899,House for rent,"$2,050/mo",850,13 days ago
40.74139,-73.85519,Apartment for rent,"$2,500/mo",680,13 days ago
40.740487,-73.857525,Apartment for rent,"$2,150/mo",--,13 days ago
40.720642,-73.822341,Apartment for rent,"$1,800/mo",850,13 days ago
40.727336,-73.813933,Apartment for rent,"$2,190/mo",--,13 days ago
